,LSOA code,LSOA name (Eng),WIMD 2025 overall quintile,population,households,average_household_size,air_quality,congestion,dampness,diet_change,excess_cold,excess_heat,hassle_costs,noise,physical_activity,road_repairs,road_safety,sum
157,W01001859,Riverside 5,4,1513,773,1.96,1.067219998,0.0,0.012529528,0.11336834,0.252920009,2.87e-06,-1.523368787,0.0,1.562986264,0.0,0.0,1.485658221
158,W01001860,Riverside 6,4,1681,776,2.17,1.185721625,0.0,0.012700543,0.125956497,0.252707334,3.12e-06,-1.69252011,0.0,1.675263331,0.0,0.0,1.559832336
159,W01001861,Riverside 7,4,1659,748,2.22,1.170210638,0.0,0.012673111,0.12430805,0.206240251,2.7e-06,-1.670369344,0.0,1.44959664,0.0,0.0,1.292662046
160,W01001862,Riverside 8,1,1940,758,2.56,1.362408095,0.0,0.01119887,0.145363241,0.023448698,7.67e-07,-1.953295074,0.0,0.911654039,0.0,0.0,0.500778636
161,W01001863,Rumney 1,3,1501,644,2.33,1.059409212,0.0,0.012606459,0.112469184,0.268650086,3.41e-06,-1.51128655,0.0,1.430641474,0.0,0.0,1.372493279
162,W01001864,Rumney 2,4,1479,632,2.34,1.043243841,0.0,0.009778524,0.110820737,0.288439887,3.51e-06,-1.48913578,0.0,1.965515655,0.0,0.0,1.928666369
163,W01001865,Rumney 3,4,1291,519,2.49,0.910634078,0.0,0.007268177,0.096733989,0.238178359,2.91e-06,-1.299847392,0.0,2.057645863,0.0,0.0,2.010615982
164,W01001866,Rumney 4,1,1650,662,2.49,1.163855253,0.0,0.016865574,0.123633683,0.24327056,3.6e-06,-1.661307666,0.0,1.077872867,0.0,0.0,0.964193872
165,W01001867,Rumney 5,1,1547,545,2.84,1.091202471,0.0,0.016584922,0.115915944,0.168753573,3.03e-06,-1.557601792,0.0,1.035079893,0.0,0.0,0.869938037
166,W01001868,Rumney 6,1,1626,599,2.71,1.146926449,0.0,0.013082203,0.121835377,0.25004154,3.67e-06,-1.63714319,0.0,1.321109442,0.0,0.0,1.215855492
167,W01001869,Splott 1,2,1383,619,2.23,0.975522311,0.0,0.015015327,0.103627508,0.163674223,2.49e-06,-1.39247788,0.0,0.735114279,0.0,0.0,0.600478255
168,W01001870,Splott 2,2,1408,633,2.22,0.993156482,0.0,0.015819575,0.105500744,0.154789733,2.42e-06,-1.417649206,0.0,0.815096812,0.0,0.0,0.666716558
169,W01001871,Splott 3,1,1632,687,2.38,1.150294746,0.0,0.052545231,0.122284952,0.070472682,-8.2e-06,-1.643184307,0.0,0.718416944,0.0,0.0,0.470822045
170,W01001872,Splott 4,2,1653,697,2.37,1.165978412,0.0,0.016277091,0.123858473,0.186772337,2.95e-06,-1.664328227,0.0,0.846248662,0.0,0.0,0.674809695
171,W01001873,Splott 5,1,1841,799,2.3,1.298574341,0.0,0.019743663,0.137945221,0.13451192,2.35e-06,-1.853616614,0.0,1.008661971,0.0,0.0,0.745822851
172,W01001874,Splott 6,1,1529,749,2.04,1.074440023,0.0,0.051753167,0.114567214,0.056415323,4.78e-06,-1.539478439,0.0,0.425548882,0.0,0.0,0.183250946
173,W01001876,Splott 8,1,1666,655,2.54,1.175135716,0.0,0.019480952,0.124832558,0.109325111,2.2e-06,-1.677417318,0.0,1.033375778,0.0,0.0,0.784735002
174,W01001877,Trowbridge 1,4,1871,816,2.29,1.319749308,0.0,0.013935603,0.140193107,0.31686765,3.82e-06,-1.883822209,0.0,2.961729636,0.0,0.0,2.868656916
