co-benefit_type,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,sum,population,households,LSOA code,LSOA name (Eng),WIMD 2025 overall rank ,WIMD 2025 overall decile,WIMD 2025 overall quintile
hassle_costs,-0.052253007,-0.062364115,-0.072204381,-0.082005482,-0.091643487,-0.101100834,-0.101899584,-0.102645967,-0.10334546,-0.103990373,-0.104589097,-0.105052978,-0.105458773,-0.105800048,-0.106079224,-0.106288386,-0.106217113,-0.10608156,-0.105881397,-0.105623872,-0.105324188,-0.104835955,-0.104307335,-0.103741129,-0.103138093,-0.102514554,-2.554386392,2537,1031,W01001699,Butetown 1,136,1,1
noise,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2537,1031,W01001699,Butetown 1,136,1,1
physical_activity,0.015283649,0.021631026,0.026304808,0.030084944,0.03340034,0.036750377,0.038091079,0.039306597,0.040353583,0.041401097,0.042930681,0.043866956,0.044716661,0.045487581,0.04620289,0.04724503,0.047825482,0.048331908,0.048765921,0.049144894,0.049796653,0.050033681,0.050162465,0.050201222,0.050141894,0.050596861,1.08805828,2537,1031,W01001699,Butetown 1,136,1,1
road_repairs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2537,1031,W01001699,Butetown 1,136,1,1
road_safety,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2537,1031,W01001699,Butetown 1,136,1,1
sum,-0.031684232,-0.033964094,-0.028219042,-0.030711578,-0.033935766,-0.036131249,-0.030590798,-0.023053149,-0.013935338,-0.00581334,0.004662331,0.013519916,0.021428112,0.029516472,0.037861652,0.053818869,0.06007333,0.065730805,0.071007691,0.075352927,0.079367771,0.081781509,0.082418444,0.08221769,0.081791055,0.082026877,0.654536865,2537,1031,W01001699,Butetown 1,136,1,1
air_quality,0.002967504,0.004801705,0.006187244,0.007998135,0.010316136,0.013689672,0.017450704,0.022506737,0.028112444,0.033622995,0.039762799,0.045559555,0.051140947,0.056524291,0.061600396,0.066394182,0.070507747,0.074233509,0.077509448,0.080303764,0.082596133,0.083952911,0.084096044,0.083605704,0.083070918,0.082559387,1.271071011,1802,737,W01001702,Caerau (Cardiff) 1,464,3,2
congestion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1802,737,W01001702,Caerau (Cardiff) 1,464,3,2
dampness,0.0,2.77e-07,0.000142439,0.000223375,0.000159325,0.000560326,0.000349555,0.000396566,0.000464217,0.00083339,0.000750058,0.001342977,0.001006755,0.001050213,0.001066262,0.001197159,0.001225129,0.00122676,0.001234169,0.001487064,0.001488493,0.001478436,0.001475176,0.001530503,0.001610262,0.001648168,0.023947054,1802,737,W01001702,Caerau (Cardiff) 1,464,3,2
diet_change,0.0,0.0,0.006365969,0.006396506,0.006349696,0.00627946,0.00620231,0.006123267,0.006043866,0.005964628,0.005885802,0.005807633,0.005730336,0.00565399,0.005578635,0.005504298,0.005430941,0.005358507,0.005286957,0.005216239,0.005146218,0.005076756,0.00500778,0.004939208,0.004870966,0.004803001,0.135022969,1802,737,W01001702,Caerau (Cardiff) 1,464,3,2
